"spec","target_label","target_size","ate_climate_behavior"
"confound_1of8_social_norms_policy_support","social_norms+trust_science",2,0.0633652912791177
"confound_1of8_social_norms_policy_support","social_norms+policy_support",2,0.0633652912791177
"confound_1of8_social_norms_policy_support","trust_science+policy_support",2,0.0436998057736922
"confound_1of8_social_norms_policy_support","belief_concern+harm_present+harm_future",3,0.233640586052191
"confound_1of8_social_norms_policy_support","belief_concern+harm_present+weather_risk_prep",3,0.275076521567421
"confound_1of8_social_norms_policy_support","belief_concern+harm_present+social_norms",3,0.260844650745369
"confound_1of8_social_norms_policy_support","belief_concern+harm_present+trust_science",3,0.241179165239944
"confound_1of8_social_norms_policy_support","belief_concern+harm_present+policy_support",3,0.23214153919437
"confound_1of8_social_norms_policy_support","belief_concern+harm_future+weather_risk_prep",3,0.265725153409545
"confound_1of8_social_norms_policy_support","belief_concern+harm_future+social_norms",3,0.247076009745263
"confound_1of8_social_norms_policy_support","belief_concern+harm_future+trust_science",3,0.227410524239837
"confound_1of8_social_norms_policy_support","belief_concern+harm_future+policy_support",3,0.219871945052084
"confound_1of8_social_norms_policy_support","belief_concern+weather_risk_prep+social_norms",3,0.279452973026023
"confound_1of8_social_norms_policy_support","belief_concern+weather_risk_prep+trust_science",3,0.259787487520597
"confound_1of8_social_norms_policy_support","belief_concern+weather_risk_prep+policy_support",3,0.250749861475024
"confound_1of8_social_norms_policy_support","belief_concern+social_norms+trust_science",3,0.22997532002767
"confound_1of8_social_norms_policy_support","belief_concern+social_norms+policy_support",3,0.22997532002767
"confound_1of8_social_norms_policy_support","belief_concern+trust_science+policy_support",3,0.210309834522244
"confound_1of8_social_norms_policy_support","harm_present+harm_future+weather_risk_prep",3,0.25083489177235
"confound_1of8_social_norms_policy_support","harm_present+harm_future+social_norms",3,0.250330404401351
"confound_1of8_social_norms_policy_support","harm_present+harm_future+trust_science",3,0.230664918895926
"confound_1of8_social_norms_policy_support","harm_present+harm_future+policy_support",3,0.197385663055281
"confound_1of8_social_norms_policy_support","harm_present+weather_risk_prep+social_norms",3,0.303779633118421
"confound_1of8_social_norms_policy_support","harm_present+weather_risk_prep+trust_science",3,0.284114147612995
"confound_1of8_social_norms_policy_support","harm_present+weather_risk_prep+policy_support",3,0.240414341839303
"confound_1of8_social_norms_policy_support","harm_present+social_norms+trust_science",3,0.250330404401351
"confound_1of8_social_norms_policy_support","harm_present+social_norms+policy_support",3,0.250330404401351
"confound_1of8_social_norms_policy_support","harm_present+trust_science+policy_support",3,0.230664918895926
"confound_1of8_social_norms_policy_support","harm_future+weather_risk_prep+social_norms",3,0.250120716550828
"confound_1of8_social_norms_policy_support","harm_future+weather_risk_prep+trust_science",3,0.230455231045403
"confound_1of8_social_norms_policy_support","harm_future+weather_risk_prep+policy_support",3,0.197175975204757
"confound_1of8_social_norms_policy_support","harm_future+social_norms+trust_science",3,0.182239888268555
"confound_1of8_social_norms_policy_support","harm_future+social_norms+policy_support",3,0.182239888268555
"confound_1of8_social_norms_policy_support","harm_future+trust_science+policy_support",3,0.162574402763129
"confound_1of8_social_norms_policy_support","weather_risk_prep+social_norms+trust_science",3,0.156441266839769
"confound_1of8_social_norms_policy_support","weather_risk_prep+social_norms+policy_support",3,0.156441266839769
