"target_label","target_size","ate_baseline","ate_min","ate_max","range","n_specs"
"weather_risk_prep+social_norms",2,0.149861059787307,0.0973700926998993,0.156441947548801,0.0590718548489015,16
"weather_risk_prep+social_norms+policy_support",3,0.149861059787307,0.0973700926998993,0.156441947548801,0.0590718548489015,16
"weather_risk_prep+social_norms+trust_science",3,0.149861059787307,0.0973700926998993,0.156441947548801,0.0590718548489015,16
"harm_future+policy_support",2,0.146496110454019,0,0.146496110454024,0.146496110454024,16
"weather_risk_prep+trust_science+policy_support",3,0.135225490372172,0.0973700926998993,0.136776270992464,0.0394061782925645,16
"harm_future",1,0.132193852909441,0,0.145429027563954,0.145429027563954,16
"weather_risk_prep+trust_science",2,0.126974665135874,0.0973700926998993,0.136776270992464,0.0394061782925645,16
"weather_risk_prep+policy_support",2,0.108985479479657,0.0930759991784261,0.108985479479662,0.0159094803012355,16
"weather_risk_prep",1,0.0927883702055787,0.0927883702055771,0.0973700926999038,0.00458172249432665,16
"social_norms",1,0.0570726895817288,0,0.0633659340129504,0.0633659340129504,16
"social_norms+policy_support",2,0.0570726895817288,0,0.0633659340129504,0.0633659340129504,16
"social_norms+trust_science",2,0.0570726895817288,0,0.0633659340129504,0.0633659340129504,16
"social_norms+trust_science+policy_support",3,0.0570726895817288,0,0.0633659340129504,0.0633659340129504,16
"trust_science+policy_support",2,0.0424371201665934,0,0.0437002574566134,0.0437002574566134,16
"trust_science",1,0.0341862949302955,0,0.0437002574566134,0.0437002574566134,16
"policy_support",1,0.0161971092740782,0,0.0161971092740785,0.0161971092740785,16
