"target_label","target_size","det_baseline","det_min","det_max","mc_baseline","mc_min","mc_max","diff_baseline","diff_min","diff_max"
"harm_present+trust_science",2,0.22927846413572,0.228729735524869,0.230665115246023,0.22670235134474,0.226331159967826,0.24049728544577,0.0026,0.0024,-0.0098
"belief_concern+trust_science+policy_support",3,0.215799874677799,0.201964078241648,0.215799874677809,0.219811103471988,0.201380055713901,0.220495759480762,-0.004,6e-04,-0.0047
"belief_concern+trust_science",2,0.212980390202409,0.201964078241648,0.213951415606993,0.209667090115782,0.201380055713901,0.212382708791963,0.0033,6e-04,0.0016
"harm_present+policy_support",2,0.211289278479503,0.186964920347681,0.228729735524882,0.208626243566928,0.183934754015744,0.24049728544577,0.0027,0.003,-0.0118
"belief_concern+policy_support",2,0.210373137302733,0.201272139772873,0.210373137302744,0.207388251471117,0.196799139564935,0.212879876472098,0.003,0.0045,-0.0025
"belief_concern",1,0.205910269493496,0.201272139772873,0.206881294898082,0.202131199583212,0.195407358920561,0.212483437326669,0.0038,0.0059,-0.0056
"harm_present",1,0.195092169205424,0.186964920347681,0.228729735524882,0.191634794891078,0.182542973510837,0.238478241474996,0.0035,0.0044,-0.0097
"weather_risk_prep+social_norms",2,0.149861059787307,0.0973700926998993,0.156441947548801,0.146680999046797,0.100375654440185,0.15324279529626,0.0032,-0.003,0.0032
"weather_risk_prep+social_norms+policy_support",3,0.149861059787307,0.0973700926998993,0.156441947548801,0.154103395604382,0.104986107393017,0.16071253447364,-0.0042,-0.0076,-0.0043
"weather_risk_prep+social_norms+trust_science",3,0.149861059787307,0.0973700926998993,0.156441947548801,0.154599801189264,0.0974416025169343,0.160839093269284,-0.0047,-1e-04,-0.0044
"weather_risk_prep+trust_science+policy_support",3,0.135225490372172,0.0973700926998993,0.136776270992464,0.139341337830618,0.0974416025169343,0.140464117350424,-0.0041,-1e-04,-0.0037
"weather_risk_prep+trust_science",2,0.126974665135874,0.0973700926998993,0.136776270992464,0.124272308467104,0.0974416025169343,0.132994381057035,0.0027,-1e-04,0.0038
"weather_risk_prep+policy_support",2,0.108985479479657,0.0930759991784261,0.108985479479662,0.105762401807392,0.0889545726812841,0.107991080055946,0.0032,0.0041,0.001
"weather_risk_prep",1,0.0927883702055787,0.0927883702055771,0.0973700926999038,0.0874440189559572,0.0871867365470042,0.106409293731336,0.0053,0.0056,-0.009
"social_norms",1,0.0570726895817288,0,0.0633659340129504,0.0509624754580355,0,0.0580517452157948,0.0061,0,0.0053
"social_norms+policy_support",2,0.0570726895817288,0,0.0633659340129504,0.0537030616812771,0,0.0594435253228166,0.0034,0,0.0039
"social_norms+trust_science",2,0.0570726895817288,0,0.0633659340129504,0.0543255063490291,0.00353639995355182,0.0586162038822477,0.0027,-0.0035,0.0047
"social_norms+trust_science+policy_support",3,0.0570726895817288,0,0.0633659340129504,0.0602575864984505,0.00658294735988455,0.0660859430596279,-0.0032,-0.0066,-0.0027
"trust_science+policy_support",2,0.0424371201665934,0,0.0437002574566134,0.0383362785512637,0.00658294735988455,0.0396650649509386,0.0041,-0.0066,0.004
"trust_science",1,0.0341862949302955,0,0.0437002574566134,0.029345525027996,0.00353639995355182,0.0382732848439168,0.0048,-0.0035,0.0054
"policy_support",1,0.0161971092740782,0,0.0161971092740785,0.0107095792854134,-0.00706524525986424,0.0108206198035558,0.0055,0.0071,0.0054
