target_label,target_size,ate_baseline,ate_min,ate_max,range,n_specs
harm_future+weather_risk_prep+trust_science,3,0.22589924581208326,0.09737009269989931,0.2304553579066778,0.1330852652067785,16
belief_concern+harm_future,2,0.22492699852149062,0.20196407824164808,0.22589802392607478,0.023933945684426694,16
harm_present+harm_future+policy_support,3,0.21754640820018706,0.19738518396673682,0.2287297355248824,0.031344551558145584,16
belief_concern+trust_science+policy_support,3,0.21579987467779896,0.20196407824164808,0.21579987467780873,0.013835796436160647,16
harm_future+weather_risk_prep+policy_support,3,0.2141671898765504,0.09737009269989931,0.2164415829291975,0.11907149022929818,16
belief_concern+trust_science,2,0.2129803902024089,0.20196407824164808,0.2139514156069928,0.011987337365344714,16
harm_present+policy_support,2,0.21128927847950266,0.18696492034768097,0.2287297355248824,0.04176481517720143,16
belief_concern+policy_support,2,0.21037313730273277,0.20127213977287306,0.21037313730274423,0.009100997529871174,16
belief_concern,1,0.20591026949349608,0.20127213977287306,0.20688129489808216,0.005609155125209098,16
harm_present+harm_future,2,0.20324415065560938,0.19738518396673682,0.2287297355248824,0.031344551558145584,16
harm_future+weather_risk_prep,2,0.19986493233197272,0.09737009269989931,0.2164415829291975,0.11907149022929818,16
harm_present,1,0.19509216920542446,0.18696492034768097,0.2287297355248824,0.04176481517720143,16
harm_future+social_norms,2,0.1811145610409851,0,0.18223999625923668,0.18223999625923668,16
harm_future+social_norms+policy_support,3,0.1811145610409851,0,0.18223999625923668,0.18223999625923668,16
harm_future+social_norms+trust_science,3,0.1811145610409851,0,0.18223999625923668,0.18223999625923668,16
harm_future+trust_science+policy_support,3,0.16647899162584978,0,0.16647899162585375,0.16647899162585375,16
harm_future+trust_science,2,0.15822816638955184,0,0.16257451211435853,0.16257451211435853,16
weather_risk_prep+social_norms,2,0.14986105978730743,0.09737009269989931,0.15644194754880084,0.059071854848901525,16
weather_risk_prep+social_norms+policy_support,3,0.14986105978730743,0.09737009269989931,0.15644194754880084,0.059071854848901525,16
weather_risk_prep+social_norms+trust_science,3,0.14986105978730743,0.09737009269989931,0.15644194754880084,0.059071854848901525,16
harm_future+policy_support,2,0.14649611045401895,0,0.14649611045402364,0.14649611045402364,16
weather_risk_prep+trust_science+policy_support,3,0.13522549037217213,0.09737009269989931,0.13677627099246384,0.03940617829256453,16
harm_future,1,0.13219385290944127,0,0.14542902756395387,0.14542902756395387,16
weather_risk_prep+trust_science,2,0.12697466513587416,0.09737009269989931,0.13677627099246384,0.03940617829256453,16
weather_risk_prep+policy_support,2,0.10898547947965688,0.09307599917842607,0.10898547947966154,0.01590948030123547,16
weather_risk_prep,1,0.09278837020557869,0.09278837020557713,0.09737009269990378,0.0045817224943266455,16
