"target_label","target_size","ate_baseline","ate_min","ate_max","range","n_specs"
"belief_concern+harm_present+policy_support",3,0.232141761709249,0.181878732655526,0.239729061656034,0.0578503290005077,12
"harm_present+harm_future+trust_science",3,0.230665115246023,0.187119938302242,0.230665115246023,0.0435451769437807,12
"harm_present+trust_science",2,0.230665115246023,0.187119938302242,0.230665115246023,0.0435451769437807,12
"harm_present+trust_science+policy_support",3,0.230665115246023,0.187119938302242,0.230665115246023,0.0435451769437807,12
"harm_future+weather_risk_prep+trust_science",3,0.230455357906678,0.0973700926999038,0.260781960035368,0.163411867335464,12
"belief_concern+social_norms",2,0.229975528534551,0.141859308616995,0.230744883230037,0.0888855746130416,12
"belief_concern+social_norms+policy_support",3,0.229975528534551,0.141859308616995,0.230744883230037,0.0888855746130416,12
"belief_concern+social_norms+trust_science",3,0.229975528534551,0.141859308616995,0.230744883230037,0.0888855746130416,12
"belief_concern+harm_future+trust_science",3,0.227410719786744,0.141859308616995,0.227410719786744,0.0855514111697483,12
"belief_concern+harm_future",2,0.219872156973846,0.141859308616995,0.222884751549222,0.0810254429322268,12
"belief_concern+harm_future+policy_support",3,0.219872156973846,0.141859308616995,0.222884751549222,0.0810254429322268,12
"belief_concern+trust_science",2,0.210310044389672,0.141859308616995,0.211013695303263,0.0691543866862677,12
"belief_concern+trust_science+policy_support",3,0.210310044389672,0.141859308616995,0.211013695303263,0.0691543866862677,12
"belief_concern",1,0.201272438461644,0.141859308616995,0.20279950998222,0.0609402013652251,12
"belief_concern+policy_support",2,0.201272438461644,0.141859308616995,0.20279950998222,0.0609402013652251,12
"harm_present+harm_future",2,0.197385880512579,0.157555848841097,0.228729735524882,0.071173886683785,12
"harm_present+harm_future+policy_support",3,0.197385880512579,0.157555848841097,0.228729735524882,0.071173886683785,12
"harm_future+weather_risk_prep",2,0.197176123173234,0.0973700926999038,0.254933062360653,0.157562969660749,12
"harm_future+weather_risk_prep+policy_support",3,0.197176123173234,0.0973700926999038,0.254933062360653,0.157562969660749,12
"harm_present",1,0.186965335962417,0.147100370262274,0.228729735524882,0.0816293652626088,12
"harm_present+policy_support",2,0.186965335962417,0.147100370262274,0.228729735524882,0.0816293652626088,12
"harm_future+social_norms",2,0.182239996259237,0,0.182239996259237,0.182239996259237,12
"harm_future+social_norms+policy_support",3,0.182239996259237,0,0.182239996259237,0.182239996259237,12
"harm_future+social_norms+trust_science",3,0.182239996259237,0,0.182239996259237,0.182239996259237,12
"harm_future+trust_science",2,0.162574512114359,0,0.162574512114359,0.162574512114359,12
"harm_future+trust_science+policy_support",3,0.162574512114359,0,0.162574512114359,0.162574512114359,12
"weather_risk_prep+social_norms",2,0.15644126260691,0.0973700926998993,0.233066191649696,0.135696098949797,12
"weather_risk_prep+social_norms+policy_support",3,0.15644126260691,0.0973700926998993,0.233066191649696,0.135696098949797,12
"weather_risk_prep+social_norms+trust_science",3,0.15644126260691,0.0973700926998993,0.233066191649696,0.135696098949797,12
"weather_risk_prep+trust_science",2,0.136775778462032,0.0973700926998993,0.213400676450831,0.116030583750931,12
"weather_risk_prep+trust_science+policy_support",3,0.136775778462032,0.0973700926998993,0.213400676450831,0.116030583750931,12
"harm_future",1,0.129295277380915,0,0.145429027563945,0.145429027563945,12
"harm_future+policy_support",2,0.129295277380915,0,0.145429027563945,0.145429027563945,12
"weather_risk_prep",1,0.0930759991784261,0.0930759991784261,0.194764049192968,0.101688050014542,12
"weather_risk_prep+policy_support",2,0.0930759991784261,0.0930759991784261,0.194764049192968,0.101688050014542,12
"social_norms",1,0.0633652634284836,0,0.0635776709539534,0.0635776709539534,12
"social_norms+policy_support",2,0.0633652634284836,0,0.0635776709539534,0.0635776709539534,12
"social_norms+trust_science",2,0.0633652634284836,0,0.0635776709539534,0.0635776709539534,12
"social_norms+trust_science+policy_support",3,0.0633652634284836,0,0.0635776709539534,0.0635776709539534,12
"trust_science",1,0.0436997792836055,0,0.0438462728470076,0.0438462728470076,12
"trust_science+policy_support",2,0.0436997792836055,0,0.0438462728470076,0.0438462728470076,12
