"target_label","target_size","ate_baseline","ate_min","ate_max","range","n_specs"
"belief_concern+harm_future+policy_support",3,0.224330439654094,0.198073143805265,0.224330439654094,0.0262572958488285,16
"belief_concern+harm_future+trust_science",3,0.224326194051546,0.200615434661506,0.224787760076535,0.0241723254150289,16
"harm_present+policy_support",2,0.223403630012869,0.210163996922986,0.228729735524878,0.0185657386018925,16
"belief_concern+harm_future",2,0.222338635116855,0.198073143805265,0.222884751549222,0.0248116077439571,16
"harm_present+harm_future",2,0.218451911877289,0.213678185225984,0.228729735524878,0.0150515502988938,16
"harm_future+weather_risk_prep+trust_science",3,0.215834941818967,0.0973700926998993,0.216441582929186,0.119071490229287,16
"harm_present",1,0.21570451595392,0.210163996922986,0.228729735524878,0.0185657386018925,16
"harm_future+weather_risk_prep+policy_support",3,0.213859226716011,0.0957010628536106,0.216441582929186,0.120740520075576,16
"harm_future+weather_risk_prep",2,0.207060809154404,0.0948431791423857,0.216441582929186,0.121598403786801,16
"belief_concern+trust_science+policy_support",3,0.205937077508574,0.200615296807923,0.205937077508574,0.00532178070065059,16
"belief_concern+trust_science",2,0.204596867215728,0.200615296807923,0.205058433240717,0.00444313643279429,16
"belief_concern+policy_support",2,0.204335456119359,0.19756747942131,0.204335456119359,0.00676797669804982,16
"belief_concern",1,0.202214082007973,0.19756747942131,0.202675648032963,0.00510816861165297,16
"harm_future+social_norms",2,0.185224240237172,0,0.185224240237172,0.185224240237172,16
"harm_future+social_norms+policy_support",3,0.185224240237172,0,0.185224240237172,0.185224240237172,16
"harm_future+social_norms+trust_science",3,0.185224240237172,0,0.185224240237172,0.185224240237172,16
"harm_future+trust_science+policy_support",3,0.152590907124186,0,0.152590907124186,0.152590907124186,16
"harm_future+trust_science",2,0.148668969974797,0,0.148668969974797,0.148668969974797,16
"harm_future+policy_support",2,0.146693254871842,0,0.146693254871842,0.146693254871842,16
"weather_risk_prep+social_norms",2,0.140172582069323,0.0973700926998993,0.142768791238084,0.0453986985381847,16
"weather_risk_prep+social_norms+policy_support",3,0.140172582069323,0.0973700926998993,0.142768791238084,0.0453986985381847,16
"weather_risk_prep+social_norms+trust_science",3,0.140172582069323,0.0973700926998993,0.142768791238084,0.0453986985381847,16
"harm_future",1,0.139894837310234,0,0.145429027563945,0.145429027563945,16
"weather_risk_prep+trust_science+policy_support",3,0.107539248956338,0.0973700926998993,0.107539248956338,0.0101691562564383,16
"weather_risk_prep+trust_science",2,0.103617311806949,0.0973700926998993,0.106924208575992,0.00955411587609274,16
"weather_risk_prep+policy_support",2,0.0997948972779651,0.0921868652440836,0.0997948972779651,0.00760803203388148,16
"weather_risk_prep",1,0.0920957832190159,0.0920957832190159,0.0973700926999042,0.00527430948088832,16
"social_norms",1,0.0480767988503075,0,0.0505817922495525,0.0505817922495525,16
"social_norms+policy_support",2,0.0480767988503075,0,0.0505817922495525,0.0505817922495525,16
"social_norms+trust_science",2,0.0480767988503075,0,0.0505817922495525,0.0505817922495525,16
"social_norms+trust_science+policy_support",3,0.0480767988503075,0,0.0505817922495525,0.0505817922495525,16
"trust_science+policy_support",2,0.0154434657373217,0,0.0154434657373217,0.0154434657373217,16
"trust_science",1,0.011521528587933,0,0.0147372095874606,0.0147372095874606,16
